Название;Широта;Долгота;Код станции в реестре ЕСР;Номер линии по FreiCON;Название линии;Область;Район;Железная дорога;Регион РЖД:;Класс станции;Тип
Красноярская-Сахалинская;47.40;141.99;99432;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Кругликово;48.10;135.11;97130;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Район имени Лазо;Дальневосточная;Хабаровский;;
Кручина;51.82;113.75;94260;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;4;промежуточная 
Ксеньевская;53.56;118.72;95060;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;участковая 
Куанда;56.32;116.07;90650;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;промежуточная  
Кувыкта;55.19;124.22;90500;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Кудули;55.20;126.33;91192;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Кузнецово;42.96;133.07;98440;96-056;Пост 132 км - мыс Астафьева;Приморский край;Тернейский район;Дальневосточная;Владивостокский;;
Кузнецовский;50.17;138.98;96645;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Култушная;51.89;106.14;93467;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Кульдур;49.20;131.63;91810;96-060;Новый Ургал - Известковая;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Кумте;50.44;137.20;96571;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Кун;50.27;137.92;96610;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Кутыкан;55.30;124.05;90501;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Куэнга;52.07;117.05;94847;94-002;Карымская - Куэнга;Забайкальский край;Сретенский район;Забайкальская;Читинский регион;;
Куэнга;52.07;117.05;94847;94-003;Куэнга - Бамовская;Забайкальский край;Сретенский район;Забайкальская;Читинский регион;;
Куэнга;52.07;117.05;94847;94-014;Куэнга - Сретенск;Забайкальский край;Сретенский район;Забайкальская;Читинский регион;4;железнодорожная 
Кычыранкы;51.27;132.46;91691;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Кюхельбекерская;56.26;112.82;90380;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;4;промежуточная  
Лагар-Аул;49.01;131.23;96142;96-011;Архара - Известковая;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Лазо;45.87;133.64;97330;96-024;Хабаровск I - Сибирцево;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Лазо;45.87;133.64;97330;96-028;Эбергард - Лазо;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Ландыши;49.25;140.31;96740;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Ларба;55.50;123.12;90930;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Ласточка;46.35;134.06;97263;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Ледяная;51.75;128.07;95330;94-004;Бамовская - Белогорск;Амурская область;Свободненский район;Забайкальская;Свободненский регион;4;промежуточная 
Леонидово-Сахалинское;49.29;142.86;99641;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Леприндо;56.64;117.58;90433;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Лесная;51.77;113.00;94160;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;;
Лесная;51.77;113.00;94160;94-011;Лесная - Голубичная;Забайкальский край;Читинский район;Забайкальская;Читинский регион;2;грузовая 
Лесовозный;52.12;107.25;93510;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;;путевой пост
Лесозаводск 1;45.45;133.38;97350;96-024;Хабаровск I - Сибирцево;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Лесозаводск 2;45.46;133.38;97371;96-029;Ружино - Кабарга;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Лиан;50.82;136.94;91971;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Лимонник;44.40;133.60;97652;96-030;Сибирцево - Новочугуевка;Приморский край;Яковлевский район;Дальневосточная;Владивостокский;;
Липовцы;44.18;131.70;98890;96-038;Воздвиженский - Гродеково;Приморский край;Октябрьский район;Дальневосточная;Владивостокский;;
Литовко;49.24;135.18;96430;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Ловецкая;46.71;141.88;99311;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Невельский ;Дальневосточная;Сахалинский;;
Лодья;56.32;115.16;90654;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Лозовый;43.06;133.14;98430;96-056;Пост 132 км - мыс Астафьева;Приморский край;Партизанский район;Дальневосточная;Владивостокский;;
Лондоко;49.01;132.00;96232;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Лопча;55.77;122.77;90900;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Луговое;47.00;142.75;99111;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Анивский ;Дальневосточная;Сахалинский;;
Лумбир;55.44;123.60;90950;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Лучегорск;46.48;134.19;97250;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Лучки;44.28;132.25;97510;96-031;Сибирцево - Платоновка;Приморский край;Хорольский район;Дальневосточная;Владивостокский;;
Люнино;46.28;133.10;97262;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Мавринский;51.09;136.88;91950;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Магдагачи;53.45;125.81;95250;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;2;грузовая 
Мадалан;54.06;123.41;95140;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;промежуточная 
Макаров ;48.63;142.79;99550;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Маккавеево;51.75;113.96;94280;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;3;промежуточная 
Малоковали;54.11;121.54;95117;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;5;обгонный пункт
Мамай;51.45;104.77;93403;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Мандрик;52.09;107.48;93521;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;;
Мантуриха;51.78;105.98;93463;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Маргуцек;50.40;117.90;94580;94-009;Харанор - Приаргунск;Забайкальский край;Краснокаменский район;Забайкальская;Борзинский регион;5;промежуточная 
Маревая;55.31;125.89;91170;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Марихта;55.94;122.54;90871;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Марково-Сахалинское ;48.80;142.89;99570;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Матросово;49.46;142.86;99645;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Махалино;42.70;130.78;98740;96-045;Гвоздево - Хасан;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Мациевская;49.73;117.27;94672;94-007;Борзя - Забайкальск;Забайкальский край;Забайкальский район;Забайкальская;Борзинский регион;5;разъезд
Мацулевка;46.81;142.73;99043;96-062;Корсаков-Южно-Сахалинск; Сахалинская область;ГО Анивский ;Дальневосточная;Сахалинский;;
Маяк Слепиковского;47.29;142.02;99413;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Медведчиково;51.78;107.55;93580;92-009;Заудинский - Наушки;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Менгон;49.98;136.32;96491;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Комсомольский ;;
Меун;53.06;130.30;91591;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Минеральная;47.15;142.06;99402;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Мирная;50.75;116.05;94431;94-006;Карымская - Борзя;Забайкальский край;Оловяннинский район;Забайкальская;Борзинский регион;5;разъезд
Мирошниченко;53.60;129.28;91453;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Михайло-Чесноковская;51.35;128.15;95370;94-004;Бамовская - Белогорск;Амурская область;Свободненский район;Забайкальская;Свободненский регион;2;грузовая 
Мишиха;51.65;105.59;93432;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Могды;50.59;133.80;91841;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Могзон;51.74;111.96;94130;94-001;Петровский Завод - Карымская;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;3;участковая 
Могойтуй;51.28;114.92;94340;94-006;Карымская - Борзя;Забайкальский край;Могойтуйский район;Забайкальская;Борзинский регион;4;промежуточная 
Могот;55.59;124.93;91110;96-004;Бестужево - Нерюнгри-Пассажирская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Могоча;53.74;119.77;95080;94-003;Куэнга - Бамовская;Забайкальский край;ГО Могоча;Забайкальская;Могочинский регион;2;участковая 
Молдавский;53.79;129.07;91451;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Монгохто;49.27;140.25;96731;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Мони;51.47;136.13;91912;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Морозовка;44.59;131.99;97522;96-031;Сибирцево - Платоновка;Приморский край;Ханкайский район;Дальневосточная;Владивостокский;;
Московский Комсомолец;55.14;127.11;91232;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Мостовка;52.08;107.02;93493;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;;
Мостовой;52.01;107.50;93530;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Моховая Падь;50.37;127.60;95460;94-018;Белогорск - Благовещенск;Амурская область;ГО Благовещенск;Забайкальская;Свободненский регион;4;промежуточная 
Моховой;55.33;123.94;90485;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Мохортов;54.29;123.86;91065;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Мошка;50.28;132.28;91761;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Мугуле;50.96;132.99;91732;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Мукунга;50.90;133.16;91734;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Мульмага;54.79;128.07;91301;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Мульмугакан;54.80;128.33;91302;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Муртой;51.20;106.35;93631;92-009;Заудинский - Наушки;Республика Бурятия;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;;
Муртыгит;54.43;123.86;91060;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Мурурин;57.02;119.35;90452;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;разъезд
Мустах;51.64;131.17;91642;96-006;Бестужево - Новый Ургал;Амурская область;Мазановский район;Дальневосточная;Комсомольский ;;
Мухинская;52.27;127.21;95310;94-004;Бамовская - Белогорск;Амурская область;Шимановский район;Забайкальская;Свободненский регион;4;промежуточная 
Мучная;44.34;132.53;97460;96-024;Хабаровск I - Сибирцево;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Муякан;56.30;114.33;90601;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
