Название;Широта;Долгота;Код станции в реестре ЕСР;Номер линии по FreiCON;Название линии;Область;Район;Железная дорога;Регион РЖД:;Класс станции;Тип
Абрамиха;51.91;106.16;93458;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Аван;47.49;134.65;97206;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Вяземский;Дальневосточная;Хабаровский;;
Агней;56.11;111.31;90352;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Адарка;44.70;132.91;97421;96-024;Хабаровск I - Сибирцево;Приморский край;Спасский район;Дальневосточная;Владивостокский;;
Адарка;44.70;132.91;97421;96-024;Хабаровск I - Сибирцево;Приморский край;Спасский район;Дальневосточная;Владивостокский;;
Адникан;50.95;132.40;91900;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Адо-Тымово;51.12;142.68;99771;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Адриановка;51.57;114.52;94330;94-006;Карымская - Борзя;Забайкальский край;Карымский район;Забайкальская;Борзинский регион;5;промежуточная 
Аку ;56.33;115.39;90653;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Акур;49.83;140.06;96690;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Аланап;49.97;132.02;91771;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Алеур;52.56;117.11;94911;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Читинский регион;4;обгонный пункт
Алонка;51.37;132.44;91690;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Алчан;46.63;134.32;97231;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Алчан;46.63;134.32;97231;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Альба;51.33;142.72;99790;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Амазар;53.86;120.88;95110;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;промежуточная 
Амган;51.46;131.69;91671;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Амгунь;51.42;135.10;91880;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Амур;48.54;135.02;97030;96-023;Дежневка - Хабаровск 1;Хабаровский край;ГО Хабаровск;Дальневосточная;Хабаровский;;
Амурский Залив;43.33;132.06;98211;96-039;Барановский - Угольная;Приморский край;ГО Артем;Дальневосточная;Владивостокский;;
Амут;55.28;125.62;91171;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Анамакит;56.16;111.53;90353;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Ангаракан ;56.33;113.22;90392;92-016;Ангаракан - Казанкан;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;
Ангаракан ;56.33;113.22;90392;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Ангарич;53.83;124.41;95215;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Свободненский регион;4;обгонный пункт
Ангоя;56.01;110.91;90350;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;5;промежуточная  
Анисимовка;43.17;132.78;98360;96-053;Смоляниново - Пост 132 км;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
Аносовская;54.63;123.97;91042;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Антипиха;51.99;113.55;94230;94-001;Петровский Завод - Карымская;Забайкальский край;Ингодинский район;Забайкальская;Читинский регион;3;грузовая 
Арабатук;50.16;117.07;94561;94-009;Харанор - Приаргунск;Забайкальский край;Забайкальский район;Забайкальская;Борзинский регион;5; разъезд
Арамогойтуй;50.38;117.61;94572;94-009;Харанор - Приаргунск;Забайкальский край;Краснокаменский район;Забайкальская;Борзинский регион;5;разъезд
Арга;51.28;128.24;95400;94-004;Бамовская - Белогорск;Амурская область;Серышевский район;Забайкальская;Свободненский регион;4;промежуточная 
Арги-Паги;48.43;142.71;99792;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Аркум;56.19;113.85;90603;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Арсентьевка ;47.92;142.49;99260;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Долинский;Дальневосточная;Сахалинский;;
Арсентьевка ;47.92;142.49;99260;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Долинский;Дальневосточная;Сахалинский;;
Арсеньев;44.18;133.27;97620;96-030;Сибирцево - Новочугуевка;Приморский край;ГО Арсеньев;Дальневосточная;Владивостокский;;
Артём;43.35;132.15;98221;96-052;Угловая - Смоляниново;Приморский край;ГО Артем;Дальневосточная;Владивостокский;;
Артеушка;53.78;119.29;95071;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;железнодорожная 
Архара;49.42;130.08;96060;96-011;Архара - Известковая;Амурская область;Архаринский район;Дальневосточная;Хабаровский;3;
Арчикой;53.03;117.40;94952;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Могочинский регион;5;обгонный пункт
Атамановка;51.93;113.63;94250;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;4;промежуточная 
Аур;48.63;133.42;96330;96-014;Биробиджан 1 - Волочаевка 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Аям;56.05;124.88;91121;96-004;Бестужево - Нерюнгри-Пассажирская;Саха-Якутия;Нерюнгринский район;Дальневосточная;Тындинский;;
Аячи;54.08;121.69;95123;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;обгонный пункт
Бада;51.39;109.86;94070;94-001;Петровский Завод - Карымская;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;4;промежуточная 
Байкальский Прибой;51.94;106.20;93468;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Байково;47.48;141.97;99441;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Баканы;56.16;112.00;90383;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Балбухта;56.45;116.68;90437;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;разъезд
Баляга;51.15;108.94;94030;94-001;Петровский Завод - Карымская;Забайкальский край;Петровск-Забайкальский район;Забайкальская;Читинский регион;4;промежуточная 
Бамбурово;42.94;131.32;98758;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Бамовская;54.12;123.70;95160;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;;
Бамовская;54.12;123.70;95160;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;промежуточная 
Баневурово;43.70;131.96;98823;96-036;Уссурийск - Барановский;Приморский край;ГО Уссурийск;Дальневосточная;Владивостокский;;
Барановский;43.65;131.93;98840;96-036;Уссурийск - Барановский;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Барановский;43.65;131.93;98840;96-039;Барановский - Угольная;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Барановский;43.65;131.93;98840;96-044;Барановский - Гвоздево;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Бараты;51.24;106.38;93630;92-009;Заудинский - Наушки;Республика Бурятия;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;;промежуточная
Бархатная;42.83;132.90;98451;96-056;Пост 132 км - мыс Астафьева;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Безречная;50.73;116.18;94440;94-006;Карымская - Борзя;Забайкальский край;Оловяннинский район;Забайкальская;Борзинский регион;;промежуточная 
Беленькая;54.87;124.38;91033;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Белогорск;50.92;128.46;95000;94-004;Бамовская - Белогорск;Амурская область;ГО Белогорск;Забайкальская;Борзинский регион;;
Белогорск;50.92;128.46;95000;94-005;Белогорск - Архара;Амурская область;ГО Белогорск;Забайкальская;Борзинский регион;;
Белогорск;50.92;128.46;95000;94-018;Белогорск - Благовещенск;Амурская область;ГО Белогорск;Забайкальская;Свободненский регион;0;грузовая 
Белогорье;50.45;127.69;95451;94-018;Белогорск - Благовещенск;Амурская область;ГО Благовещенск;Забайкальская;Свободненский регион;5;разъезд
Береговой;52.02;106.75;93482;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Березняки-Сахалинские;47.13;142.75;99126;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Южно-Сахалинск ;Дальневосточная;Сахалинский;;
Берёзовский-Восточный;50.59;127.87;95440;94-018;Белогорск - Благовещенск;Амурская область;Ивановский район;Забайкальская;Свободненский регион;4;промежуточная 
Берея;52.16;127.47;95311;94-004;Бамовская - Белогорск;Амурская область;Шимановский район;Забайкальская;Свободненский регион;4;обгонный пункт
Беркакит;56.58;124.77;91140;96-004;Бестужево - Нерюнгри-Пассажирская;Саха-Якутия;Нерюнгринский район;Дальневосточная;Тындинский;;
Бестужево;55.26;125.04;91083;96-004;Бестужево - Нерюнгри-Пассажирская;Амурская область;Нерюнгринский район;Дальневосточная;Тындинский;;
Бестужево;55.26;125.04;91083;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Бикин;46.82;134.25;97220;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Бикинский район;Дальневосточная;Хабаровский;;
Бира;49.00;132.46;96250;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Биракан;48.99;131.72;96200;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Биробиджан 1;48.79;132.94;96280;96-012;Известковая - Биробиджан 1;ЕАО;ГО Биробиджан;Дальневосточная;Хабаровский;;
Биробиджан 1;48.79;132.94;96280;96-013;Биробиджан 1 - Ленинск;ЕАО;ГО Биробиджан;Дальневосточная;Хабаровский;;
Биробиджан 1;48.79;132.94;96280;96-014;Биробиджан 1 - Волочаевка 1;ЕАО;ГО Биробиджан;Дальневосточная;Хабаровский;;
Биробиджан 2;48.76;132.90;96300;96-013;Биробиджан 1 - Ленинск;ЕАО;ГО Биробиджан;Дальневосточная;Хабаровский;;
Благовещенск;50.29;127.54;95470;94-018;Белогорск - Благовещенск;Амурская область;ГО Благовещенск;Забайкальская;Свободненский регион;1;грузовая 
Богучан;49.28;130.26;96080;96-011;Архара - Известковая;Амурская область;Архаринский район;Дальневосточная;Хабаровский;;
Бойцово;46.99;134.32;97213;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Бикинский район;Дальневосточная;Хабаровский;;
Болен;51.56;135.88;91910;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Болонь;49.90;136.13;96480;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Комсомольский ;;
Болотная-Сахалинская;48.26;142.59;99521;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Корсаков;Дальневосточная;Сахалинский;;
Большая Елань;46.92;142.73;99061;96-062;Корсаков-Южно-Сахалинск; Сахалинская область;ГО Южно-Сахалинск ;Дальневосточная;Сахалинский;;
Большая Омутная;54.02;122.26;95135;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;обгонный пункт
Большая Речка;51.97;106.31;93471;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Большой Невер;53.98;124.16;95210;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;промежуточная 
Борзя;50.39;116.52;94470;94-006;Карымская - Борзя;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;;
Борзя;50.39;116.52;94470;94-007;Борзя - Забайкальск;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;2;участковая 
Боярский;51.85;106.07;93465;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;обгонный пункт
Брусит;49.10;131.58;91820;96-060;Новый Ургал - Известковая;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Будукан;49.02;132.24;96242;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Буйневич (пп);46.34;134.05;97261;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Букачача;52.98;116.91;94930;94-016;Чернышевск-Забайкальский - Букчача;Забайкальский край;Чернышевский район;Забайкальская;Читинский регион;5;промежуточная 
Булак;51.03;115.34;94371;94-006;Карымская - Борзя;Забайкальский край;Могойтуйский район;Забайкальская;Борзинский регион;5;разъезд
Буреинск;51.13;132.48;91701;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Бурея;49.81;129.81;95630;94-005;Белогорск - Архара;Амурская область;Бурейский район;Забайкальская;Свободненский регион;;
Бурея;49.81;129.81;95630;94-020;Бурея - Холодный Ключ;Амурская область;Бурейский район;Забайкальская;Свободненский регион;2;грузовая 
Бурлит-Волочаевский;46.56;134.26;97241;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Бурятская;51.45;114.71;94334;94-006;Карымская - Борзя;Забайкальский край;Могойтуйский район;Забайкальская;Борзинский регион;5;разъезд
Бутиха;50.77;106.27;93651;92-009;Заудинский - Наушки;Республика Бурятия;Джидинский район;Восточно-Сибирская;Улан-Удэнский;;
Бушулей;52.75;117.27;94913;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Читинский регион;4;обгонный пункт
Буюклы ;49.54;142.87;99660;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Смирныховский;Дальневосточная;Сахалинский;;
Буянки;44.18;132.88;97590;96-030;Сибирцево - Новочугуевка;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Бырка;50.74;115.95;94420;94-006;Карымская - Борзя;Забайкальский край;Оловяннинский район;Забайкальская;Борзинский регион;5;промежуточная 
Вандан;48.98;135.09;96401;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Ванино;49.09;140.26;96760;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Варфоломеевка;44.29;133.41;97640;96-030;Сибирцево - Новочугуевка;Приморский край;Яковлевский район;Дальневосточная;Владивостокский;;
Вассиановка;44.15;132.65;97571;96-030;Сибирцево - Новочугуевка;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Вахрушев-Сахалинский ;48.98;142.94;99580;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Верино;47.98;135.05;97140;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Район имени Лазо;Дальневосточная;Хабаровский;;
Верхнезейск;54.62;128.54;91320;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Весенняя;43.28;132.05;98203;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Виневитино;43.42;131.75;96800;96-044;Барановский - Гвоздево;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Владивосток;43.11;131.88;98000;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;0;внеклассная 
Владивосток;43.11;131.88;98000;96-041;Владивосток - Мыс-Чуркин;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;0;внеклассная 
Вогутон;45.94;133.83;97275;96-028;Эбергард - Лазо;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Возвращение;49.41;142.85;99642;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Воздвиженский;43.94;131.87;98870;96-037;Уссурийск - Воздвиженский;Приморский край;ГО Уссурийск;Дальневосточная;Владивостокский;;
Воздвиженский;43.94;131.87;98870;96-038;Воздвиженский - Гродеково;Приморский край;ГО Уссурийск;Дальневосточная;Владивостокский;;
Возжаевка;50.73;128.72;95520;94-005;Белогорск - Архара;Амурская область;Белогорский район;Забайкальская;Свободненский регион;4;промежуточная 
Волочаевка 1;48.56;134.48;96350;96-014;Биробиджан 1 - Волочаевка 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Восточный Порт;42.73;133.09;98592;96-057;Находка - Восточный Порт;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Восточный-Сахалинский ;48.28;142.61;99544;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Вторая Речка;43.16;131.90;98180;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Выдрино;51.45;104.64;93400;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Высокогорная;50.10;139.13;96650;96-019;Комсомольск-Сортировочный - Ванино-Высокогорская;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Вяземская;47.54;134.75;97190;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Вяземский;Дальневосточная;Хабаровский;;
Гайдамак;43.11;131.94;98060;96-041;Владивосток - Мыс-Чуркин;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Гайтер;50.36;137.25;96580;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Гастелло;49.10;142.96;99581;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Гвоздево;42.69;130.91;98750;96-045;Гвоздево - Хасан;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Гвоздево;42.69;130.91;98750;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Гвоздевский;51.72;131.16;91641;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Комсомольский ;;
Гедике;47.37;134.49;97202;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Вяземский;Дальневосточная;Хабаровский;;
Герби;50.80;134.12;91850;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Германовский;53.85;120.78;95103;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;5;обгонный пункт
Гилюй;55.40;124.96;91091;96-004;Бестужево - Нерюнгри-Пассажирская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Голенки;44.07;131.78;98880;96-038;Воздвиженский - Гродеково;Приморский край;Октябрьский район;Дальневосточная;Владивостокский;;
Гонгота;51.77;112.25;94150;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;4;грузовая 
Гонжа;53.58;125.38;95240;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;4;промежуточная 
Гончарово-Сахалинское;49.25;143.01;99631;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Горелый;54.11;123.77;95161;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;обгонный пункт
Горин;51.20;136.67;91940;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Горнозаводск ;46.57;141.82;99301;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Невельский ;Дальневосточная;Сахалинский;;
Горхон;51.56;108.79;93820;92-005;Заудинский - Петровский Завод;Республика Бурятия;Заиграевский район;Восточно-Сибирская;Улан-Удэнский;3;промежуточная
Горячий Ключ;56.17;113.54;90572;92-016;Ангаракан - Казанкан;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Гоуджекит;55.71;109.07;90311;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Гребенская;48.49;142.72;99542;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Гремячий;51.76;105.97;93462;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Гродеково;44.40;131.35;98920;96-038;Воздвиженский - Гродеково;Приморский край;Пограничный район;Дальневосточная;Владивостокский;;
Грушевое;45.83;133.61;97341;96-024;Хабаровск I - Сибирцево;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Губерово;46.20;133.95;97270;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Гудачи;53.69;125.24;95230;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;4;грузовая 
Гурское;50.32;138.08;96620;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Гусиное Озеро;51.11;106.27;93640;92-009;Заудинский - Наушки;Республика Бурятия;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Гыршелун;51.40;110.66;94100;94-001;Петровский Завод - Карымская;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;4;промежуточная 
Дабан;55.74;108.87;90318;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Дактуй;53.34;126.17;95260;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;4;промежуточная 
Дальневосточный;49.17;135.17;96422;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Дальнереченск 2;45.91;133.80;97380;96-028;Эбергард - Лазо;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Дальнереченск-1;45.93;133.72;97280;96-024;Хабаровск I - Сибирцево;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Дарасун;51.67;113.98;94290;94-001;Петровский Завод - Карымская;Забайкальский край;Карымский район;Забайкальская;Читинский регион;4;промежуточная 
Датта;50.09;139.34;96652;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Даурия;49.93;116.84;94660;94-007;Борзя - Забайкальск;Забайкальский край;Забайкальский район;Забайкальская;Борзинский регион;;промежуточная 
Дежневка;48.54;134.63;96352;96-023;Дежневка - Хабаровск 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Демченко;52.09;130.93;91612;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Десс;55.13;126.93;91282;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Джамку;51.12;134.64;91860;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Джармен;48.71;134.65;96382;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Джелингра;55.30;125.28;91092;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Джелюмкен;48.92;134.97;96403;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Джигдаси;50.08;139.73;96661;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Джида;50.69;106.18;93660;92-009;Заудинский - Наушки;Республика Бурятия;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;5;промежуточная
Джиктанда;53.73;124.53;95217;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Свободненский регион;5;обгонный пункт
Дивизионная;51.89;107.52;93540;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Дипкун;55.13;126.79;91230;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Долинск ;47.33;142.79;99200;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Долинский;Дальневосточная;Сахалинский;;
Домикан;49.65;129.94;95704;94-005;Белогорск - Архара;Амурская область;Архаринский район;Забайкальская;Свободненский регион;4;обгонный пункт
Домна;51.90;113.16;94190;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;4;грузовая 
Дормидонтовка;47.77;134.91;97172;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Вяземский;Дальневосточная;Хабаровский;;
Досатуй;50.39;118.64;94600;94-009;Харанор - Приаргунск;Забайкальский край;Приаргунский район;Забайкальская;Борзинский регион;5;промежуточная 
Дрогошевск;52.88;130.42;91590;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Дроздов;44.78;132.99;97422;96-024;Хабаровск I - Сибирцево;Приморский край;Спасский район;Дальневосточная;Владивостокский;;
Дубининский;43.94;132.03;97700;96-033;Сибирцево - Дубининский;Приморский край;Михайловский район;Дальневосточная;Владивостокский;;
Дубликан;50.10;132.53;91711;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Дубок;47.72;134.91;97171;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Вяземский;Дальневосточная;Хабаровский;;
Дугда;53.35;130.00;91570;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Дунай;42.88;132.34;98340;96-054;Смоляниново - Дунай;Приморский край;ГО Фокино;Дальневосточная;Владивостокский;;
Дуссе-Алинь;50.75;133.42;91832;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Екатериновка;42.91;133.05;98442;96-056;Пост 132 км - мыс Астафьева;Приморский край;Партизанский район;Дальневосточная;Владивостокский;;
